seed_run,fold_test_year,disease,disease_id,w_tcn,w_bilstm,w_transformer
42,2020,AFP,0,0.3929753005504608,0.1902082860469818,0.416816383600235
42,2020,CSM,1,0.39604005217552185,0.18612787127494812,0.4178321063518524
42,2020,Cholera,2,0.3917348086833954,0.18702034652233124,0.4212448298931122
42,2020,Lassa Fever,3,0.3936498165130615,0.18757624924182892,0.41877397894859314
42,2020,Measles,4,0.39347130060195923,0.1906888484954834,0.415839821100235
42,2020,Mpox,5,0.3958803415298462,0.18863220512866974,0.4154874384403229
42,2020,Yellow Fever,6,0.3910963535308838,0.18351911008358002,0.425384521484375
42,2020,AFP,0,0.32342973351478577,0.22214055061340332,0.4544297158718109
42,2020,CSM,1,0.32671958208084106,0.2204277217388153,0.4528527557849884
42,2020,Cholera,2,0.32109758257865906,0.22506298124790192,0.45383942127227783
42,2020,Lassa Fever,3,0.3283025920391083,0.22690510749816895,0.44479233026504517
42,2020,Measles,4,0.32091498374938965,0.224527508020401,0.45455750823020935
42,2020,Mpox,5,0.3236282765865326,0.21912993490695953,0.4572417736053467
42,2020,Yellow Fever,6,0.31990325450897217,0.22331665456295013,0.45678001642227173
42,2020,AFP,0,0.2500936686992645,0.3552362322807312,0.3946700990200043
42,2020,CSM,1,0.25237521529197693,0.356253057718277,0.39137178659439087
42,2020,Cholera,2,0.2501544654369354,0.35426443815231323,0.39558109641075134
42,2020,Lassa Fever,3,0.25629499554634094,0.35707828402519226,0.386626660823822
42,2020,Measles,4,0.2486325055360794,0.35172972083091736,0.39963778853416443
42,2020,Mpox,5,0.25194355845451355,0.35236096382141113,0.39569538831710815
42,2020,Yellow Fever,6,0.251135915517807,0.3506490886211395,0.3982149362564087
42,2020,AFP,0,0.32081174850463867,0.3275641202926636,0.35162413120269775
42,2020,CSM,1,0.32460471987724304,0.3299180269241333,0.34547722339630127
42,2020,Cholera,2,0.3212646245956421,0.3257646858692169,0.352970689535141
42,2020,Lassa Fever,3,0.3259489834308624,0.33171993494033813,0.3423311114311218
42,2020,Measles,4,0.3169122636318207,0.3243875205516815,0.3587001860141754
42,2020,Mpox,5,0.3222045600414276,0.32687461376190186,0.35092082619667053
42,2020,Yellow Fever,6,0.3231542408466339,0.32237717509269714,0.35446861386299133
42,2020,AFP,0,0.4014968276023865,0.20866653323173523,0.3898366391658783
42,2020,CSM,1,0.40169599652290344,0.20412760972976685,0.39417633414268494
42,2020,Cholera,2,0.39773550629615784,0.20960518717765808,0.3926592767238617
42,2020,Lassa Fever,3,0.40229249000549316,0.20694966614246368,0.39075785875320435
42,2020,Measles,4,0.3940301239490509,0.21104052662849426,0.39492928981781006
42,2020,Mpox,5,0.3998554050922394,0.2061847448348999,0.39395982027053833
42,2020,Yellow Fever,6,0.39301225543022156,0.2093048393726349,0.39768287539482117
42,2020,AFP,0,0.4161399006843567,0.18225225806236267,0.40160781145095825
42,2020,CSM,1,0.41992658376693726,0.176462784409523,0.40361055731773376
42,2020,Cholera,2,0.41457846760749817,0.18233679234981537,0.40308472514152527
42,2020,Lassa Fever,3,0.4175035059452057,0.18388448655605316,0.39861202239990234
42,2020,Measles,4,0.41385138034820557,0.185238778591156,0.40090978145599365
42,2020,Mpox,5,0.4188246428966522,0.18042303621768951,0.40075230598449707
42,2020,Yellow Fever,6,0.4152422249317169,0.18048574030399323,0.40427201986312866
42,2020,AFP,0,0.4229745864868164,0.16972315311431885,0.40730229020118713
42,2020,CSM,1,0.42503800988197327,0.16739536821842194,0.407566636800766
42,2020,Cholera,2,0.41897207498550415,0.17236369848251343,0.40866419672966003
42,2020,Lassa Fever,3,0.42376744747161865,0.17590336501598358,0.40032920241355896
42,2020,Measles,4,0.4231026768684387,0.16985690593719482,0.40704047679901123
42,2020,Mpox,5,0.42720043659210205,0.1651279479265213,0.40767157077789307
42,2020,Yellow Fever,6,0.42329519987106323,0.16848249733448029,0.4082222878932953
42,2020,AFP,0,0.2981908619403839,0.20761582255363464,0.4941932260990143
42,2020,CSM,1,0.30156368017196655,0.20832429826259613,0.4901120662689209
42,2020,Cholera,2,0.29259926080703735,0.20685240626335144,0.5005483627319336
42,2020,Lassa Fever,3,0.3062635660171509,0.20916777849197388,0.48456862568855286
42,2020,Measles,4,0.2964402139186859,0.2049926370382309,0.4985671043395996
42,2020,Mpox,5,0.302141934633255,0.20372779667377472,0.49413031339645386
42,2020,Yellow Fever,6,0.2937142550945282,0.20336757600307465,0.5029181838035583
42,2020,AFP,0,0.33064258098602295,0.3017933964729309,0.36756399273872375
42,2020,CSM,1,0.3318433463573456,0.30011528730392456,0.3680413067340851
42,2020,Cholera,2,0.3274323344230652,0.3061767518520355,0.3663909137248993
42,2020,Lassa Fever,3,0.33161601424217224,0.3111700415611267,0.35721397399902344
42,2020,Measles,4,0.32991957664489746,0.3038542568683624,0.3662262260913849
42,2020,Mpox,5,0.3345187306404114,0.2976459264755249,0.3678353726863861
42,2020,Yellow Fever,6,0.3290586471557617,0.30198395252227783,0.36895740032196045
42,2020,AFP,0,0.33943673968315125,0.26730892062187195,0.3932543694972992
42,2020,CSM,1,0.3380126357078552,0.27082470059394836,0.3911627233028412
42,2020,Cholera,2,0.3420059382915497,0.2672337591648102,0.39076030254364014
42,2020,Lassa Fever,3,0.33845219016075134,0.2771635949611664,0.38438424468040466
42,2020,Measles,4,0.3386015295982361,0.2669812738895416,0.3944171667098999
42,2020,Mpox,5,0.3404843807220459,0.26800549030303955,0.39151009917259216
42,2020,Yellow Fever,6,0.3394754230976105,0.2661702036857605,0.3943544030189514
42,2020,AFP,0,0.344833642244339,0.23860865831375122,0.4165576994419098
42,2020,CSM,1,0.3450019359588623,0.2376125007867813,0.4173854887485504
42,2020,Cholera,2,0.3425363004207611,0.23812229931354523,0.41934141516685486
42,2020,Lassa Fever,3,0.34579262137413025,0.24612806737422943,0.4080792963504791
42,2020,Measles,4,0.3432495594024658,0.24011221528053284,0.41663816571235657
42,2020,Mpox,5,0.347609281539917,0.23526954650878906,0.41712117195129395
42,2020,Yellow Fever,6,0.3417753279209137,0.2390383630990982,0.4191863536834717
42,2020,AFP,0,0.35212117433547974,0.3216492533683777,0.3262295722961426
42,2020,CSM,1,0.3515692949295044,0.321624755859375,0.3268059194087982
42,2020,Cholera,2,0.3481070101261139,0.3252204656600952,0.3266725242137909
42,2020,Lassa Fever,3,0.349043607711792,0.3333137333393097,0.3176426589488983
42,2020,Measles,4,0.35099461674690247,0.31533363461494446,0.3336717188358307
42,2020,Mpox,5,0.35327374935150146,0.3152034878730774,0.33152279257774353
42,2020,Yellow Fever,6,0.3470911681652069,0.31720271706581116,0.33570608496665955
42,2020,AFP,0,0.417596697807312,0.19283153116703033,0.38957175612449646
42,2020,CSM,1,0.4170539379119873,0.19129447638988495,0.39165160059928894
42,2020,Cholera,2,0.41561320424079895,0.1917818784713745,0.39260488748550415
42,2020,Lassa Fever,3,0.41569265723228455,0.1998935043811798,0.3844138979911804
42,2020,Measles,4,0.41676944494247437,0.1883661150932312,0.39486443996429443
42,2020,Mpox,5,0.4168117046356201,0.19037383794784546,0.3928144574165344
42,2020,Yellow Fever,6,0.4137365221977234,0.18568754196166992,0.4005759358406067
42,2020,AFP,0,0.43400320410728455,0.11277130991220474,0.45322543382644653
42,2020,CSM,1,0.4329685568809509,0.11094344407320023,0.45608800649642944
42,2020,Cholera,2,0.4310281574726105,0.11203641444444656,0.4569353759288788
42,2020,Lassa Fever,3,0.4328663945198059,0.11351174116134644,0.45362186431884766
42,2020,Measles,4,0.43167755007743835,0.11062678694725037,0.45769569277763367
42,2020,Mpox,5,0.43278127908706665,0.11253376305103302,0.45468494296073914
42,2020,Yellow Fever,6,0.4275997281074524,0.1090812012553215,0.4633190929889679
42,2020,AFP,0,0.40500983595848083,0.20051725208759308,0.3944729268550873
42,2020,CSM,1,0.4059789776802063,0.19747291505336761,0.3965481221675873
42,2020,Cholera,2,0.4041244387626648,0.1998593509197235,0.3960161805152893
42,2020,Lassa Fever,3,0.40695905685424805,0.19904662668704987,0.3939943015575409
42,2020,Measles,4,0.40506380796432495,0.19729118049144745,0.3976450264453888
42,2020,Mpox,5,0.40630921721458435,0.1961643248796463,0.3975263833999634
42,2020,Yellow Fever,6,0.4040982127189636,0.19283151626586914,0.40307024121284485
42,2020,AFP,0,0.39636269211769104,0.20381203293800354,0.3998252749443054
42,2020,CSM,1,0.39862674474716187,0.20100346207618713,0.4003697633743286
42,2020,Cholera,2,0.39844465255737305,0.20370715856552124,0.3978482782840729
42,2020,Lassa Fever,3,0.4000799357891083,0.20389840006828308,0.39602169394493103
