disease,std_w_tcn,std_w_bilstm,std_w_transformer,n
AFP,0.11281207290211905,0.16595459132317864,0.12816550037607766,651
CSM,0.10837253862516967,0.15595082605062574,0.12913994997152206,651
Cholera,0.11552885922004753,0.1855846561906517,0.13125767556166554,651
Lassa Fever,0.10643577099756957,0.155492650908671,0.14617386847692296,651
Measles,0.11051768028892878,0.14298438338483663,0.13734925226958197,651
Mpox,0.1168247260826476,0.176727755461606,0.13502187824479914,651
Yellow Fever,0.11060758463170571,0.17182194133367862,0.1260804888381496,651
