disease,mean_w_tcn,mean_w_bilstm,mean_w_transformer,entropy,n
AFP,0.24319241853136164,0.439902495140762,0.31690508547809815,0.9802627592702154,651
CSM,0.2555183884895159,0.42840813560419916,0.31607347823387605,0.9937410885844021,651
Cholera,0.24444705238580108,0.4570310844048377,0.29852186317359614,0.9621987088639034,651
Lassa Fever,0.2509843285657614,0.41679110450129353,0.33222456593581473,0.9903706282811485,651
Measles,0.2564619898069335,0.4120064651544925,0.33153154539193286,0.9988618324959053,651
Mpox,0.2443225274431861,0.44671366026141496,0.3089638137360162,0.9677448453429027,651
Yellow Fever,0.25343287567366285,0.4476352470330379,0.2989318758169169,0.9800305487613977,651
