disease,MAE,n,variant,seed_run,fold_test_year,horizon
Cholera,1.5858529806137085,9,uniform_gate,42,2026,1
Lassa Fever,0.7397334575653076,9,uniform_gate,42,2026,1
Measles,0.2496090978384018,9,uniform_gate,42,2026,1
Mpox,0.7408848404884338,9,uniform_gate,42,2026,1
Yellow Fever,0.6493510007858276,9,uniform_gate,42,2026,1
AFP,0.35225817561149597,50,learned_gate,123,2020,1
CSM,1.1088519096374512,50,learned_gate,123,2020,1
Cholera,2.1524689197540283,50,learned_gate,123,2020,1
Lassa Fever,0.6061390042304993,50,learned_gate,123,2020,1
Measles,1.0558890104293823,50,learned_gate,123,2020,1
Mpox,0.9569697380065918,50,learned_gate,123,2020,1
Yellow Fever,1.1186798810958862,50,learned_gate,123,2020,1
AFP,0.2790061831474304,50,uniform_gate,123,2020,1
CSM,1.044305443763733,50,uniform_gate,123,2020,1
Cholera,2.0051026344299316,50,uniform_gate,123,2020,1
Lassa Fever,0.6038534641265869,50,uniform_gate,123,2020,1
Measles,1.018379807472229,50,uniform_gate,123,2020,1
Mpox,0.8453434109687805,50,uniform_gate,123,2020,1
Yellow Fever,1.0440927743911743,50,uniform_gate,123,2020,1
AFP,0.44036394357681274,27,learned_gate,123,2021,1
CSM,0.8879305720329285,27,learned_gate,123,2021,1
Cholera,2.312331438064575,27,learned_gate,123,2021,1
Lassa Fever,0.4506455957889557,27,learned_gate,123,2021,1
Measles,0.5224106311798096,27,learned_gate,123,2021,1
Mpox,0.6315160393714905,27,learned_gate,123,2021,1
Yellow Fever,0.562960684299469,27,learned_gate,123,2021,1
AFP,0.47078415751457214,27,uniform_gate,123,2021,1
CSM,0.8526710867881775,27,uniform_gate,123,2021,1
Cholera,2.3490564823150635,27,uniform_gate,123,2021,1
Lassa Fever,0.3548591732978821,27,uniform_gate,123,2021,1
Measles,0.528719425201416,27,uniform_gate,123,2021,1
Mpox,0.6177801489830017,27,uniform_gate,123,2021,1
Yellow Fever,0.5584986805915833,27,uniform_gate,123,2021,1
AFP,0.36245447397232056,15,learned_gate,123,2022,1
CSM,0.6568834781646729,15,learned_gate,123,2022,1
Cholera,1.4506539106369019,15,learned_gate,123,2022,1
Lassa Fever,0.16327647864818573,15,learned_gate,123,2022,1
Measles,0.7057257294654846,15,learned_gate,123,2022,1
Mpox,2.4319844245910645,15,learned_gate,123,2022,1
Yellow Fever,0.5542513132095337,15,learned_gate,123,2022,1
AFP,0.3131410479545593,15,uniform_gate,123,2022,1
CSM,0.6600773930549622,15,uniform_gate,123,2022,1
Cholera,1.2163385152816772,15,uniform_gate,123,2022,1
Lassa Fever,0.17070576548576355,15,uniform_gate,123,2022,1
Measles,0.654788613319397,15,uniform_gate,123,2022,1
Mpox,2.345719575881958,15,uniform_gate,123,2022,1
Yellow Fever,0.6455934047698975,15,uniform_gate,123,2022,1
AFP,0.8159807324409485,22,learned_gate,123,2023,1
CSM,1.2247411012649536,22,learned_gate,123,2023,1
Cholera,0.9518129825592041,22,learned_gate,123,2023,1
Lassa Fever,0.3206588923931122,22,learned_gate,123,2023,1
Measles,1.5639910697937012,22,learned_gate,123,2023,1
Mpox,1.760105848312378,22,learned_gate,123,2023,1
Yellow Fever,0.6163851022720337,22,learned_gate,123,2023,1
AFP,0.7853752374649048,22,uniform_gate,123,2023,1
CSM,1.2746020555496216,22,uniform_gate,123,2023,1
Cholera,0.9931955337524414,22,uniform_gate,123,2023,1
Lassa Fever,0.26642391085624695,22,uniform_gate,123,2023,1
Measles,1.7398765087127686,22,uniform_gate,123,2023,1
Mpox,1.708428978919983,22,uniform_gate,123,2023,1
Yellow Fever,0.6089171767234802,22,uniform_gate,123,2023,1
AFP,0.5560002326965332,42,learned_gate,123,2024,1
CSM,1.8270699977874756,42,learned_gate,123,2024,1
Cholera,1.6668752431869507,42,learned_gate,123,2024,1
Lassa Fever,0.6574576497077942,42,learned_gate,123,2024,1
Measles,0.9109772443771362,42,learned_gate,123,2024,1
Mpox,2.1536736488342285,42,learned_gate,123,2024,1
Yellow Fever,0.5471293330192566,42,learned_gate,123,2024,1
AFP,0.5898692011833191,42,uniform_gate,123,2024,1
CSM,1.8529378175735474,42,uniform_gate,123,2024,1
Cholera,1.8979887962341309,42,uniform_gate,123,2024,1
Lassa Fever,0.717590868473053,42,uniform_gate,123,2024,1
Measles,0.9436076283454895,42,uniform_gate,123,2024,1
Mpox,2.3242838382720947,42,uniform_gate,123,2024,1
Yellow Fever,0.6049872636795044,42,uniform_gate,123,2024,1
AFP,0.6450987458229065,52,learned_gate,123,2025,1
CSM,1.9705429077148438,52,learned_gate,123,2025,1
Cholera,1.6046371459960938,52,learned_gate,123,2025,1
Lassa Fever,0.6454203724861145,52,learned_gate,123,2025,1
Measles,1.8107035160064697,52,learned_gate,123,2025,1
Mpox,0.8370698690414429,52,learned_gate,123,2025,1
Yellow Fever,0.731250524520874,52,learned_gate,123,2025,1
AFP,0.6634998917579651,52,uniform_gate,123,2025,1
CSM,1.8053920269012451,52,uniform_gate,123,2025,1
Cholera,1.5973032712936401,52,uniform_gate,123,2025,1
Lassa Fever,0.39858242869377136,52,uniform_gate,123,2025,1
Measles,1.6951844692230225,52,uniform_gate,123,2025,1
Mpox,1.8239763975143433,52,uniform_gate,123,2025,1
Yellow Fever,0.6516658067703247,52,uniform_gate,123,2025,1
AFP,1.5727909803390503,9,learned_gate,123,2026,1
CSM,0.595213770866394,9,learned_gate,123,2026,1
Cholera,1.6752946376800537,9,learned_gate,123,2026,1
Lassa Fever,0.6706387996673584,9,learned_gate,123,2026,1
Measles,0.39716053009033203,9,learned_gate,123,2026,1
Mpox,0.6647565364837646,9,learned_gate,123,2026,1
Yellow Fever,0.7339860200881958,9,learned_gate,123,2026,1
AFP,1.5454912185668945,9,uniform_gate,123,2026,1
CSM,0.6312825679779053,9,uniform_gate,123,2026,1
Cholera,1.5334054231643677,9,uniform_gate,123,2026,1
Lassa Fever,0.7094342112541199,9,uniform_gate,123,2026,1
Measles,0.3462163507938385,9,uniform_gate,123,2026,1
Mpox,0.6400018334388733,9,uniform_gate,123,2026,1
Yellow Fever,0.6961379647254944,9,uniform_gate,123,2026,1
AFP,0.27343112230300903,50,learned_gate,2024,2020,1
CSM,1.0286688804626465,50,learned_gate,2024,2020,1
Cholera,1.9930366277694702,50,learned_gate,2024,2020,1
Lassa Fever,0.6056153774261475,50,learned_gate,2024,2020,1
Measles,0.999849259853363,50,learned_gate,2024,2020,1
Mpox,0.8251643180847168,50,learned_gate,2024,2020,1
Yellow Fever,1.0310966968536377,50,learned_gate,2024,2020,1
AFP,0.25146549940109253,50,uniform_gate,2024,2020,1
CSM,0.9834554195404053,50,uniform_gate,2024,2020,1
Cholera,1.913332223892212,50,uniform_gate,2024,2020,1
Lassa Fever,0.6048539876937866,50,uniform_gate,2024,2020,1
Measles,0.9355278015136719,50,uniform_gate,2024,2020,1
Mpox,0.7494194507598877,50,uniform_gate,2024,2020,1
Yellow Fever,0.9995642900466919,50,uniform_gate,2024,2020,1
AFP,0.49410805106163025,27,learned_gate,2024,2021,1
CSM,0.9417533874511719,27,learned_gate,2024,2021,1
Cholera,2.1843791007995605,27,learned_gate,2024,2021,1
Lassa Fever,0.45327484607696533,27,learned_gate,2024,2021,1
Measles,0.5642589926719666,27,learned_gate,2024,2021,1
Mpox,0.6324511766433716,27,learned_gate,2024,2021,1
Yellow Fever,0.6355988383293152,27,learned_gate,2024,2021,1
AFP,0.4479701519012451,27,uniform_gate,2024,2021,1
CSM,0.8873608708381653,27,uniform_gate,2024,2021,1
Cholera,2.462852954864502,27,uniform_gate,2024,2021,1
Lassa Fever,0.3125614523887634,27,uniform_gate,2024,2021,1
Measles,0.5916094183921814,27,uniform_gate,2024,2021,1
Mpox,0.5631430149078369,27,uniform_gate,2024,2021,1
Yellow Fever,0.5697087049484253,27,uniform_gate,2024,2021,1
AFP,0.34832245111465454,15,learned_gate,2024,2022,1
CSM,0.6468194127082825,15,learned_gate,2024,2022,1
Cholera,1.53329336643219,15,learned_gate,2024,2022,1
Lassa Fever,0.18920570611953735,15,learned_gate,2024,2022,1
Measles,0.6662350296974182,15,learned_gate,2024,2022,1
Mpox,2.452176809310913,15,learned_gate,2024,2022,1
Yellow Fever,0.5414357781410217,15,learned_gate,2024,2022,1
AFP,0.3406321108341217,15,uniform_gate,2024,2022,1
CSM,0.5587515234947205,15,uniform_gate,2024,2022,1
Cholera,1.5512573719024658,15,uniform_gate,2024,2022,1
Lassa Fever,0.22399988770484924,15,uniform_gate,2024,2022,1
Measles,0.6129471063613892,15,uniform_gate,2024,2022,1
Mpox,2.4798128604888916,15,uniform_gate,2024,2022,1
Yellow Fever,0.511471152305603,15,uniform_gate,2024,2022,1
AFP,0.7950583100318909,22,learned_gate,2024,2023,1
CSM,1.246101975440979,22,learned_gate,2024,2023,1
Cholera,1.037177562713623,22,learned_gate,2024,2023,1
Lassa Fever,0.29227161407470703,22,learned_gate,2024,2023,1
Measles,1.7412480115890503,22,learned_gate,2024,2023,1
Mpox,1.7281731367111206,22,learned_gate,2024,2023,1
Yellow Fever,0.631514847278595,22,learned_gate,2024,2023,1
AFP,0.8258945941925049,22,uniform_gate,2024,2023,1
CSM,1.2119084596633911,22,uniform_gate,2024,2023,1
Cholera,0.9617902636528015,22,uniform_gate,2024,2023,1
Lassa Fever,0.33928683400154114,22,uniform_gate,2024,2023,1
Measles,1.5470503568649292,22,uniform_gate,2024,2023,1
Mpox,1.7772934436798096,22,uniform_gate,2024,2023,1
Yellow Fever,0.636676549911499,22,uniform_gate,2024,2023,1
AFP,0.5587146878242493,42,learned_gate,2024,2024,1
CSM,1.8439481258392334,42,learned_gate,2024,2024,1
Cholera,1.430220127105713,42,learned_gate,2024,2024,1
Lassa Fever,0.624457061290741,42,learned_gate,2024,2024,1
Measles,1.0095478296279907,42,learned_gate,2024,2024,1
Mpox,1.8978211879730225,42,learned_gate,2024,2024,1
Yellow Fever,0.5067182183265686,42,learned_gate,2024,2024,1
AFP,0.4799577295780182,42,uniform_gate,2024,2024,1
CSM,1.714935541152954,42,uniform_gate,2024,2024,1
Cholera,1.6281312704086304,42,uniform_gate,2024,2024,1
Lassa Fever,0.6066991686820984,42,uniform_gate,2024,2024,1
Measles,0.8480007648468018,42,uniform_gate,2024,2024,1
Mpox,2.0237081050872803,42,uniform_gate,2024,2024,1
Yellow Fever,0.4525454044342041,42,uniform_gate,2024,2024,1
AFP,0.7713502645492554,52,learned_gate,2024,2025,1
CSM,1.694379210472107,52,learned_gate,2024,2025,1
Cholera,2.0036187171936035,52,learned_gate,2024,2025,1
Lassa Fever,0.5075792074203491,52,learned_gate,2024,2025,1
Measles,1.5717854499816895,52,learned_gate,2024,2025,1
Mpox,0.8982009291648865,52,learned_gate,2024,2025,1
Yellow Fever,0.7934837937355042,52,learned_gate,2024,2025,1
AFP,0.6346813440322876,52,uniform_gate,2024,2025,1
CSM,1.8105555772781372,52,uniform_gate,2024,2025,1
Cholera,1.5131608247756958,52,uniform_gate,2024,2025,1
Lassa Fever,0.3728424310684204,52,uniform_gate,2024,2025,1
Measles,1.7464520931243896,52,uniform_gate,2024,2025,1
Mpox,1.7196986675262451,52,uniform_gate,2024,2025,1
Yellow Fever,0.6623731851577759,52,uniform_gate,2024,2025,1
AFP,1.3419698476791382,9,learned_gate,2024,2026,1
CSM,0.725852370262146,9,learned_gate,2024,2026,1
Cholera,1.2099802494049072,9,learned_gate,2024,2026,1
Lassa Fever,0.5827792286872864,9,learned_gate,2024,2026,1
Measles,0.35841888189315796,9,learned_gate,2024,2026,1
Mpox,0.404715895652771,9,learned_gate,2024,2026,1
Yellow Fever,0.373198002576828,9,learned_gate,2024,2026,1
AFP,1.4488658905029297,9,uniform_gate,2024,2026,1
CSM,0.844170868396759,9,uniform_gate,2024,2026,1
Cholera,1.4665807485580444,9,uniform_gate,2024,2026,1
Lassa Fever,0.7851117253303528,9,uniform_gate,2024,2026,1
Measles,0.18553712964057922,9,uniform_gate,2024,2026,1
Mpox,0.8508366346359253,9,uniform_gate,2024,2026,1
Yellow Fever,0.5983582139015198,9,uniform_gate,2024,2026,1
AFP,0.4064590334892273,50,learned_gate,42,2020,4
CSM,1.1749293804168701,50,learned_gate,42,2020,4
Cholera,2.310516834259033,50,learned_gate,42,2020,4
Lassa Fever,0.6390495896339417,50,learned_gate,42,2020,4
Measles,1.299904227256775,50,learned_gate,42,2020,4
Mpox,1.0317013263702393,50,learned_gate,42,2020,4
Yellow Fever,1.0960808992385864,50,learned_gate,42,2020,4
AFP,0.33921927213668823,50,uniform_gate,42,2020,4
CSM,1.1078293323516846,50,uniform_gate,42,2020,4
Cholera,2.2092182636260986,50,uniform_gate,42,2020,4
Lassa Fever,0.626571536064148,50,uniform_gate,42,2020,4
Measles,1.1519007682800293,50,uniform_gate,42,2020,4
Mpox,0.9361711144447327,50,uniform_gate,42,2020,4
Yellow Fever,1.0590643882751465,50,uniform_gate,42,2020,4
AFP,0.4499625861644745,27,learned_gate,42,2021,4
CSM,0.874779999256134,27,learned_gate,42,2021,4
Cholera,2.4802920818328857,27,learned_gate,42,2021,4
Lassa Fever,0.30176034569740295,27,learned_gate,42,2021,4
Measles,0.6303207874298096,27,learned_gate,42,2021,4
Mpox,0.5666226744651794,27,learned_gate,42,2021,4
Yellow Fever,0.5392191410064697,27,learned_gate,42,2021,4
AFP,0.4412553608417511,27,uniform_gate,42,2021,4
CSM,0.7600078582763672,27,uniform_gate,42,2021,4
Cholera,2.699315071105957,27,uniform_gate,42,2021,4
Lassa Fever,0.24598093330860138,27,uniform_gate,42,2021,4
Measles,0.5798865556716919,27,uniform_gate,42,2021,4
Mpox,0.6184343695640564,27,uniform_gate,42,2021,4
Yellow Fever,0.448590487241745,27,uniform_gate,42,2021,4
AFP,0.33116137981414795,15,learned_gate,42,2022,4
CSM,0.5852406620979309,15,learned_gate,42,2022,4
Cholera,1.610266089439392,15,learned_gate,42,2022,4
Lassa Fever,0.20137551426887512,15,learned_gate,42,2022,4
Measles,0.6180488467216492,15,learned_gate,42,2022,4
Mpox,2.4578330516815186,15,learned_gate,42,2022,4
Yellow Fever,0.5577342510223389,15,learned_gate,42,2022,4
AFP,0.41945040225982666,15,uniform_gate,42,2022,4
CSM,0.4846115708351135,15,uniform_gate,42,2022,4
Cholera,2.1129140853881836,15,uniform_gate,42,2022,4
Lassa Fever,0.3341836631298065,15,uniform_gate,42,2022,4
Measles,0.7547261714935303,15,uniform_gate,42,2022,4
Mpox,2.6644859313964844,15,uniform_gate,42,2022,4
Yellow Fever,0.3502720594406128,15,uniform_gate,42,2022,4
AFP,0.790706217288971,22,learned_gate,42,2023,4
CSM,1.3144609928131104,22,learned_gate,42,2023,4
Cholera,1.0547184944152832,22,learned_gate,42,2023,4
Lassa Fever,0.2808232605457306,22,learned_gate,42,2023,4
Measles,1.7190661430358887,22,learned_gate,42,2023,4
Mpox,1.7049297094345093,22,learned_gate,42,2023,4
Yellow Fever,0.5640664100646973,22,learned_gate,42,2023,4
AFP,0.8097794055938721,22,uniform_gate,42,2023,4
CSM,1.2502490282058716,22,uniform_gate,42,2023,4
Cholera,0.9253343343734741,22,uniform_gate,42,2023,4
Lassa Fever,0.3125130236148834,22,uniform_gate,42,2023,4
Measles,1.5588831901550293,22,uniform_gate,42,2023,4
Mpox,1.7667149305343628,22,uniform_gate,42,2023,4
Yellow Fever,0.6161013245582581,22,uniform_gate,42,2023,4
AFP,0.6274303197860718,42,learned_gate,42,2024,4
CSM,1.896723985671997,42,learned_gate,42,2024,4
Cholera,1.8433400392532349,42,learned_gate,42,2024,4
Lassa Fever,0.7035678029060364,42,learned_gate,42,2024,4
Measles,1.0161207914352417,42,learned_gate,42,2024,4
Mpox,2.293992280960083,42,learned_gate,42,2024,4
Yellow Fever,0.6209677457809448,42,learned_gate,42,2024,4
AFP,0.6037190556526184,42,uniform_gate,42,2024,4
CSM,1.8330172300338745,42,uniform_gate,42,2024,4
Cholera,1.8851872682571411,42,uniform_gate,42,2024,4
Lassa Fever,0.7026548981666565,42,uniform_gate,42,2024,4
Measles,0.930064857006073,42,uniform_gate,42,2024,4
Mpox,2.316223621368408,42,uniform_gate,42,2024,4
Yellow Fever,0.6217960715293884,42,uniform_gate,42,2024,4
AFP,0.625549852848053,52,learned_gate,42,2025,4
CSM,1.8193414211273193,52,learned_gate,42,2025,4
Cholera,1.5325558185577393,52,learned_gate,42,2025,4
Lassa Fever,0.36418482661247253,52,learned_gate,42,2025,4
Measles,1.8290647268295288,52,learned_gate,42,2025,4
Mpox,1.6743055582046509,52,learned_gate,42,2025,4
Yellow Fever,0.7138516902923584,52,learned_gate,42,2025,4
AFP,0.6256526112556458,52,uniform_gate,42,2025,4
CSM,1.7530384063720703,52,uniform_gate,42,2025,4
Cholera,1.64242684841156,52,uniform_gate,42,2025,4
Lassa Fever,0.3436347544193268,52,uniform_gate,42,2025,4
Measles,1.9120513200759888,52,uniform_gate,42,2025,4
Mpox,1.5503400564193726,52,uniform_gate,42,2025,4
Yellow Fever,0.7378071546554565,52,uniform_gate,42,2025,4
AFP,1.6479032039642334,9,learned_gate,42,2026,4
CSM,0.4572640657424927,9,learned_gate,42,2026,4
Cholera,1.8104290962219238,9,learned_gate,42,2026,4
Lassa Fever,0.6612258553504944,9,learned_gate,42,2026,4
Measles,0.5580964088439941,9,learned_gate,42,2026,4
Mpox,0.5290186405181885,9,learned_gate,42,2026,4
Yellow Fever,0.8061996698379517,9,learned_gate,42,2026,4
AFP,1.6285749673843384,9,uniform_gate,42,2026,4
CSM,0.4685811400413513,9,uniform_gate,42,2026,4
Cholera,1.750551700592041,9,uniform_gate,42,2026,4
Lassa Fever,0.6543484330177307,9,uniform_gate,42,2026,4
Measles,0.521369218826294,9,uniform_gate,42,2026,4
Mpox,0.5453474521636963,9,uniform_gate,42,2026,4
Yellow Fever,0.7862265110015869,9,uniform_gate,42,2026,4
AFP,0.2643207311630249,50,learned_gate,123,2020,4
CSM,1.0373470783233643,50,learned_gate,123,2020,4
Cholera,2.064786911010742,50,learned_gate,123,2020,4
Lassa Fever,0.6256897449493408,50,learned_gate,123,2020,4
Measles,1.1243691444396973,50,learned_gate,123,2020,4
Mpox,0.8309580087661743,50,learned_gate,123,2020,4
Yellow Fever,0.998535692691803,50,learned_gate,123,2020,4
AFP,0.37931206822395325,50,uniform_gate,123,2020,4
CSM,1.1485719680786133,50,uniform_gate,123,2020,4
Cholera,2.290072202682495,50,uniform_gate,123,2020,4
Lassa Fever,0.6361299753189087,50,uniform_gate,123,2020,4
Measles,1.2358107566833496,50,uniform_gate,123,2020,4
Mpox,0.9962608814239502,50,uniform_gate,123,2020,4
Yellow Fever,1.08198881149292,50,uniform_gate,123,2020,4
AFP,0.46401405334472656,27,learned_gate,123,2021,4
CSM,0.8093390464782715,27,learned_gate,123,2021,4
Cholera,2.5353543758392334,27,learned_gate,123,2021,4
Lassa Fever,0.3075236678123474,27,learned_gate,123,2021,4
Measles,0.5057297348976135,27,learned_gate,123,2021,4
Mpox,0.6126884818077087,27,learned_gate,123,2021,4
Yellow Fever,0.47892260551452637,27,learned_gate,123,2021,4
AFP,0.459193617105484,27,uniform_gate,123,2021,4
CSM,0.8520960211753845,27,uniform_gate,123,2021,4
Cholera,2.4310057163238525,27,uniform_gate,123,2021,4
Lassa Fever,0.3444772958755493,27,uniform_gate,123,2021,4
Measles,0.5363176465034485,27,uniform_gate,123,2021,4
