horizon,cross_disease_std_tcn,cross_disease_std_bilstm,cross_disease_std_transformer
1,0.03061150998194924,0.047367154969726016,0.03801725128339527
4,0.020533177242547402,0.017058387566813254,0.02327076480040879
8,0.021783076575955924,0.0421271276817098,0.030403206481306715
