disease,MAE,n,variant,seed_run,fold_test_year
Cholera,1.9691582918167114,15,tcn_only,42,2022
Lassa Fever,0.2807905077934265,15,tcn_only,42,2022
Measles,0.8401094079017639,15,tcn_only,42,2022
Mpox,2.590686798095703,15,tcn_only,42,2022
Yellow Fever,0.47725430130958557,15,tcn_only,42,2022
AFP,0.35270553827285767,15,bilstm_only,42,2022
CSM,0.5471788048744202,15,bilstm_only,42,2022
Cholera,1.6393910646438599,15,bilstm_only,42,2022
Lassa Fever,0.2306024581193924,15,bilstm_only,42,2022
Measles,0.6335293650627136,15,bilstm_only,42,2022
Mpox,2.5091938972473145,15,bilstm_only,42,2022
Yellow Fever,0.48127999901771545,15,bilstm_only,42,2022
AFP,0.3866160213947296,15,transformer_only,42,2022
CSM,0.521101713180542,15,transformer_only,42,2022
Cholera,1.8100165128707886,15,transformer_only,42,2022
Lassa Fever,0.26006966829299927,15,transformer_only,42,2022
Measles,0.683606743812561,15,transformer_only,42,2022
Mpox,2.5810651779174805,15,transformer_only,42,2022
Yellow Fever,0.4147000312805176,15,transformer_only,42,2022
AFP,0.3930951654911041,15,no_tcn,42,2022
CSM,0.6004294157028198,15,no_tcn,42,2022
Cholera,1.8140676021575928,15,no_tcn,42,2022
Lassa Fever,0.23287391662597656,15,no_tcn,42,2022
Measles,0.7230641841888428,15,no_tcn,42,2022
Mpox,2.556816577911377,15,no_tcn,42,2022
Yellow Fever,0.4566672742366791,15,no_tcn,42,2022
AFP,0.370759516954422,15,no_bilstm,42,2022
CSM,0.5636213421821594,15,no_bilstm,42,2022
Cholera,1.6569052934646606,15,no_bilstm,42,2022
Lassa Fever,0.22159449756145477,15,no_bilstm,42,2022
Measles,0.6316354274749756,15,no_bilstm,42,2022
Mpox,2.5039355754852295,15,no_bilstm,42,2022
Yellow Fever,0.4692801237106323,15,no_bilstm,42,2022
AFP,0.28926458954811096,15,no_transformer,42,2022
CSM,0.6439284682273865,15,no_transformer,42,2022
Cholera,1.1190273761749268,15,no_transformer,42,2022
Lassa Fever,0.23144640028476715,15,no_transformer,42,2022
Measles,0.5181592106819153,15,no_transformer,42,2022
Mpox,2.3317043781280518,15,no_transformer,42,2022
Yellow Fever,0.6723121404647827,15,no_transformer,42,2022
AFP,0.3786248564720154,15,full_uniform,42,2022
CSM,0.5465216040611267,15,full_uniform,42,2022
Cholera,1.764725923538208,15,full_uniform,42,2022
Lassa Fever,0.23223905265331268,15,full_uniform,42,2022
Measles,0.681347131729126,15,full_uniform,42,2022
Mpox,2.5395238399505615,15,full_uniform,42,2022
Yellow Fever,0.44004830718040466,15,full_uniform,42,2022
AFP,0.8252187371253967,22,tcn_only,42,2023
CSM,1.1966885328292847,22,tcn_only,42,2023
Cholera,0.9715771079063416,22,tcn_only,42,2023
Lassa Fever,0.2991698086261749,22,tcn_only,42,2023
Measles,1.613002896308899,22,tcn_only,42,2023
Mpox,1.7266674041748047,22,tcn_only,42,2023
Yellow Fever,0.6198119521141052,22,tcn_only,42,2023
AFP,0.8071447610855103,22,bilstm_only,42,2023
CSM,1.2663242816925049,22,bilstm_only,42,2023
Cholera,1.1284453868865967,22,bilstm_only,42,2023
Lassa Fever,0.25301751494407654,22,bilstm_only,42,2023
Measles,1.8209693431854248,22,bilstm_only,42,2023
Mpox,1.637847900390625,22,bilstm_only,42,2023
Yellow Fever,0.6054174900054932,22,bilstm_only,42,2023
AFP,0.792853593826294,22,transformer_only,42,2023
CSM,1.2499598264694214,22,transformer_only,42,2023
Cholera,1.060777187347412,22,transformer_only,42,2023
Lassa Fever,0.2728847861289978,22,transformer_only,42,2023
Measles,1.7288533449172974,22,transformer_only,42,2023
Mpox,1.7086564302444458,22,transformer_only,42,2023
Yellow Fever,0.6132593750953674,22,transformer_only,42,2023
AFP,0.8095862865447998,22,no_tcn,42,2023
CSM,1.3324110507965088,22,no_tcn,42,2023
Cholera,1.1582871675491333,22,no_tcn,42,2023
Lassa Fever,0.19044990837574005,22,no_tcn,42,2023
Measles,1.9181426763534546,22,no_tcn,42,2023
Mpox,1.5752190351486206,22,no_tcn,42,2023
Yellow Fever,0.5549602508544922,22,no_tcn,42,2023
AFP,0.7954994440078735,22,no_bilstm,42,2023
CSM,1.2409663200378418,22,no_bilstm,42,2023
Cholera,0.947863757610321,22,no_bilstm,42,2023
Lassa Fever,0.28233984112739563,22,no_bilstm,42,2023
Measles,1.6222052574157715,22,no_bilstm,42,2023
