disease,mean,std
AFP,0.5535445147090488,0.2909263946838817
CSM,0.7567037724786334,0.261899078117793
Cholera,1.1092304719818964,0.24006217515316725
Lassa Fever,0.2804313459330135,0.07235554420274438
Measles,0.6860216740104887,0.225420157020358
Mpox,0.9914423873027166,0.40647157184244304
Yellow Fever,0.45487743781672585,0.11500823002275387
