,AFP,CSM,Cholera,Lassa Fever,Measles,Mpox,Yellow Fever
AFP,0.1404369328584936,0.14441878514157402,0.14240981307294634,0.14468114409181806,0.14092618599534035,0.14602299945222008,0.14110411951939264
CSM,0.14347555488348007,0.14348429524236256,0.1422440873252021,0.14278073526091045,0.1422662552860048,0.14305087841219372,0.14269819276200402
Cholera,0.1417678329679701,0.14355769173966515,0.14257878892951542,0.14362306065029568,0.14178001135587692,0.14410748912228477,0.1425851227508651
Lassa Fever,0.14314111404948765,0.14317331380314297,0.14242399483919144,0.14266440686252382,0.14265073504712847,0.14285075333383349,0.14309566881921557
Measles,0.14215998103221258,0.1437307654155625,0.1424811209241549,0.14357384625408384,0.14152957747379938,0.14484180675612557,0.14168290255798233
Mpox,0.14220966812637117,0.14332559125290978,0.14184524201684529,0.14266431331634521,0.14244397895203698,0.14407051768567827,0.14344068782197106
Yellow Fever,0.1410274418691794,0.14352913200855255,0.14328008724583519,0.1439239208896955,0.14122280064556333,0.14585615115033257,0.14116045004791683
