Feature,Importance
deaths_imp,0.4748295252620319
cases_lag2,0.1799441665121227
is_peak_year,0.08692411232328788
is_wet_season,0.08060119541395656
cases_roll4,0.03566502870347859
iso_week,0.034742765310198806
state_enc,0.02817921143639329
cases_lag1,0.02551285713567833
year_trend,0.024465630942513715
day,0.015658943245561316
month_num,0.011631149317229826
quarter,0.0014502746236086472
cfr_anomaly,0.00039513977393853693
