entropy_weight,n_pairs,wilcoxon_stat,p_value,median_delta_uniform_minus_entropy_gate,verdict
0.0,147,5658.0,0.3359667473185459,-0.0003858506679534912,not significant
0.02,147,5492.0,0.45918392512173545,0.001781463623046875,not significant
0.05,147,5688.0,0.3150773822024322,0.004246622323989868,not significant
0.1,147,5219.0,0.6647382573174568,-0.010045349597930908,not significant
0.2,147,5049.0,0.774626655946514,-0.003946185111999512,not significant
