disease,MAE,RMSE,R2,n_test
AFP,0.7781152003495135,1.244928577371812,-0.03816841283265848,51.0
CSM,0.9772330058007724,1.1354024678704384,0.6996225451580673,51.0
Cholera,0.9437612905012445,1.361323076106656,0.46151431866092996,51.0
Lassa Fever,0.22489608563133684,0.2897536897335822,0.5710682395224183,51.0
Measles,0.9371389679364048,1.4375375753409503,0.28480786191945384,51.0
Mpox,0.3915350965338103,0.5233361844158643,-0.1151507970691168,51.0
Yellow Fever,0.5727129191005288,0.9422623760764651,-0.015029455574823825,51.0
