disease,learned_gate,uniform_gate
AFP,0.6598858712684541,0.6536066319261279
CSM,1.1025923802739097,1.1401537032354445
Cholera,1.6871531094823564,1.682082020101093
Lassa Fever,0.4556091832263129,0.46990347901980084
Measles,0.9680436438038236,0.9449927331436248
Mpox,1.41693653237252,1.4759122587385631
Yellow Fever,0.6710105949924106,0.6505522202877771
