seed_run,fold_test_year,disease,model,MAE
123,2022,AFP,Naive,52.14
123,2022,AFP,CNN,87.77
123,2022,AFP,LSTM,243.29
123,2022,AFP,CNN_LSTM,80.57
123,2022,AFP,Proposed,90.48
123,2022,CSM,Naive,4.43
123,2022,CSM,CNN,3.38
123,2022,CSM,LSTM,7.67
123,2022,CSM,CNN_LSTM,2.89
123,2022,CSM,Proposed,4.76
123,2022,Cholera,Naive,1549.57
123,2022,Cholera,CNN,374.11
123,2022,Cholera,LSTM,363.9
123,2022,Cholera,CNN_LSTM,362.53
123,2022,Cholera,Proposed,373.58
123,2022,Lassa Fever,Naive,106.29
123,2022,Lassa Fever,CNN,115.59
123,2022,Lassa Fever,LSTM,21.95
123,2022,Lassa Fever,CNN_LSTM,95.29
123,2022,Lassa Fever,Proposed,110.38
123,2022,Measles,Naive,269.0
123,2022,Measles,CNN,299.31
123,2022,Measles,LSTM,141.62
123,2022,Measles,CNN_LSTM,248.84
123,2022,Measles,Proposed,301.94
123,2022,Mpox,Naive,45.86
123,2022,Mpox,CNN,46.13
123,2022,Mpox,LSTM,45.16
123,2022,Mpox,CNN_LSTM,46.07
123,2022,Mpox,Proposed,46.29
123,2022,Yellow Fever,Naive,17.57
123,2022,Yellow Fever,CNN,11.79
123,2022,Yellow Fever,LSTM,91.76
123,2022,Yellow Fever,CNN_LSTM,4.51
123,2022,Yellow Fever,Proposed,8.02
123,2023,AFP,Naive,333.64
123,2023,AFP,CNN,331.92
123,2023,AFP,LSTM,305.33
123,2023,AFP,CNN_LSTM,323.54
123,2023,AFP,Proposed,330.89
123,2023,CSM,Naive,4.29
123,2023,CSM,CNN,3.95
123,2023,CSM,LSTM,3.48
123,2023,CSM,CNN_LSTM,3.29
123,2023,CSM,Proposed,3.86
123,2023,Cholera,Naive,22.0
123,2023,Cholera,CNN,21.09
123,2023,Cholera,LSTM,17.69
123,2023,Cholera,CNN_LSTM,18.36
123,2023,Cholera,Proposed,20.17
123,2023,Lassa Fever,Naive,108.71
123,2023,Lassa Fever,CNN,87.87
123,2023,Lassa Fever,LSTM,53.42
123,2023,Lassa Fever,CNN_LSTM,79.72
123,2023,Lassa Fever,Proposed,88.51
123,2023,Measles,Naive,71.57
123,2023,Measles,CNN,69.53
123,2023,Measles,LSTM,44.1
123,2023,Measles,CNN_LSTM,61.13
123,2023,Measles,Proposed,64.15
123,2023,Mpox,Naive,12.93
123,2023,Mpox,CNN,12.88
123,2023,Mpox,LSTM,12.4
123,2023,Mpox,CNN_LSTM,12.59
123,2023,Mpox,Proposed,12.69
123,2023,Yellow Fever,Naive,57.86
123,2023,Yellow Fever,CNN,46.33
123,2023,Yellow Fever,LSTM,36.2
123,2023,Yellow Fever,CNN_LSTM,33.59
123,2023,Yellow Fever,Proposed,42.25
123,2024,AFP,Naive,195.59
123,2024,AFP,CNN,97.26
123,2024,AFP,LSTM,171.94
123,2024,AFP,CNN_LSTM,94.03
123,2024,AFP,Proposed,98.14
123,2024,CSM,Naive,63.41
123,2024,CSM,CNN,63.28
123,2024,CSM,LSTM,57.76
123,2024,CSM,CNN_LSTM,61.64
123,2024,CSM,Proposed,61.77
123,2024,Cholera,Naive,383.06
123,2024,Cholera,CNN,391.18
123,2024,Cholera,LSTM,365.87
123,2024,Cholera,CNN_LSTM,387.73
123,2024,Cholera,Proposed,389.34
123,2024,Lassa Fever,Naive,132.79
123,2024,Lassa Fever,CNN,145.07
123,2024,Lassa Fever,LSTM,62.43
123,2024,Lassa Fever,CNN_LSTM,138.22
123,2024,Lassa Fever,Proposed,142.03
123,2024,Measles,Naive,254.26
123,2024,Measles,CNN,272.67
123,2024,Measles,LSTM,90.2
123,2024,Measles,CNN_LSTM,261.62
123,2024,Measles,Proposed,277.54
123,2024,Mpox,Naive,23.47
123,2024,Mpox,CNN,27.17
123,2024,Mpox,LSTM,24.54
123,2024,Mpox,CNN_LSTM,26.08
123,2024,Mpox,Proposed,27.2
123,2024,Yellow Fever,Naive,40.09
123,2024,Yellow Fever,CNN,38.13
123,2024,Yellow Fever,LSTM,13.45
123,2024,Yellow Fever,CNN_LSTM,31.63
123,2024,Yellow Fever,Proposed,34.81
123,2025,AFP,Naive,62.25
123,2025,AFP,CNN,91.19
123,2025,AFP,LSTM,57.7
123,2025,AFP,CNN_LSTM,82.47
123,2025,AFP,Proposed,88.67
123,2025,CSM,Naive,46.66
123,2025,CSM,CNN,86.02
123,2025,CSM,LSTM,83.93
123,2025,CSM,CNN_LSTM,85.7
123,2025,CSM,Proposed,85.47
123,2025,Cholera,Naive,355.09
123,2025,Cholera,CNN,255.63
123,2025,Cholera,LSTM,246.56
123,2025,Cholera,CNN_LSTM,250.28
123,2025,Cholera,Proposed,253.09
123,2025,Lassa Fever,Naive,77.5
123,2025,Lassa Fever,CNN,130.3
123,2025,Lassa Fever,LSTM,40.02
123,2025,Lassa Fever,CNN_LSTM,111.13
123,2025,Lassa Fever,Proposed,127.58
123,2025,Measles,Naive,161.16
123,2025,Measles,CNN,119.28
123,2025,Measles,LSTM,113.02
123,2025,Measles,CNN_LSTM,112.71
123,2025,Measles,Proposed,119.63
123,2025,Mpox,Naive,15.05
123,2025,Mpox,CNN,28.43
123,2025,Mpox,LSTM,20.86
123,2025,Mpox,CNN_LSTM,26.94
123,2025,Mpox,Proposed,27.53
123,2025,Yellow Fever,Naive,24.14
123,2025,Yellow Fever,CNN,24.92
123,2025,Yellow Fever,LSTM,12.21
123,2025,Yellow Fever,CNN_LSTM,21.79
123,2025,Yellow Fever,Proposed,22.96
2024,2022,AFP,Naive,52.14
2024,2022,AFP,CNN,88.16
2024,2022,AFP,LSTM,108.24
2024,2022,AFP,CNN_LSTM,87.11
2024,2022,AFP,Proposed,87.93
2024,2022,CSM,Naive,4.43
2024,2022,CSM,CNN,4.22
2024,2022,CSM,LSTM,14.43
2024,2022,CSM,CNN_LSTM,2.75
2024,2022,CSM,Proposed,2.91
2024,2022,Cholera,Naive,1549.57
2024,2022,Cholera,CNN,375.77
2024,2022,Cholera,LSTM,333.21
2024,2022,Cholera,CNN_LSTM,371.91
2024,2022,Cholera,Proposed,372.86
2024,2022,Lassa Fever,Naive,106.29
2024,2022,Lassa Fever,CNN,86.33
2024,2022,Lassa Fever,LSTM,35.32
2024,2022,Lassa Fever,CNN_LSTM,86.83
2024,2022,Lassa Fever,Proposed,101.51
2024,2022,Measles,Naive,269.0
2024,2022,Measles,CNN,301.56
2024,2022,Measles,LSTM,111.49
2024,2022,Measles,CNN_LSTM,295.36
2024,2022,Measles,Proposed,294.23
2024,2022,Mpox,Naive,45.86
2024,2022,Mpox,CNN,46.51
2024,2022,Mpox,LSTM,45.16
2024,2022,Mpox,CNN_LSTM,46.29
2024,2022,Mpox,Proposed,46.22
2024,2022,Yellow Fever,Naive,17.57
2024,2022,Yellow Fever,CNN,4.66
2024,2022,Yellow Fever,LSTM,52.16
2024,2022,Yellow Fever,CNN_LSTM,9.46
2024,2022,Yellow Fever,Proposed,6.43
2024,2023,AFP,Naive,333.64
2024,2023,AFP,CNN,332.67
2024,2023,AFP,LSTM,314.43
2024,2023,AFP,CNN_LSTM,327.71
2024,2023,AFP,Proposed,329.9
2024,2023,CSM,Naive,4.29
2024,2023,CSM,CNN,3.82
2024,2023,CSM,LSTM,8.09
2024,2023,CSM,CNN_LSTM,3.55
2024,2023,CSM,Proposed,3.95
2024,2023,Cholera,Naive,22.0
2024,2023,Cholera,CNN,21.46
2024,2023,Cholera,LSTM,16.62
2024,2023,Cholera,CNN_LSTM,19.88
2024,2023,Cholera,Proposed,19.74
2024,2023,Lassa Fever,Naive,108.71
2024,2023,Lassa Fever,CNN,81.67
2024,2023,Lassa Fever,LSTM,57.62
2024,2023,Lassa Fever,CNN_LSTM,77.07
2024,2023,Lassa Fever,Proposed,88.64
2024,2023,Measles,Naive,71.57
2024,2023,Measles,CNN,61.88
2024,2023,Measles,LSTM,69.29
2024,2023,Measles,CNN_LSTM,58.29
2024,2023,Measles,Proposed,66.11
2024,2023,Mpox,Naive,12.93
2024,2023,Mpox,CNN,12.84
2024,2023,Mpox,LSTM,12.25
2024,2023,Mpox,CNN_LSTM,12.73
2024,2023,Mpox,Proposed,12.69
2024,2023,Yellow Fever,Naive,57.86
2024,2023,Yellow Fever,CNN,43.91
