seed_run,fold_test_year,disease,disease_id,context,w_tcn,w_bilstm,w_transformer
42,2020,AFP,0,quiet,0.30210164189338684,0.4570316672325134,0.24086661636829376
42,2020,CSM,1,quiet,0.3034564256668091,0.4588317573070526,0.2377118021249771
42,2020,Cholera,2,outbreak,0.29301637411117554,0.46407249569892883,0.24291114509105682
42,2020,Lassa Fever,3,outbreak,0.2958635091781616,0.46991202235221863,0.23422442376613617
42,2020,Measles,4,quiet,0.3040899932384491,0.46018680930137634,0.23572321236133575
42,2020,Mpox,5,quiet,0.2931668162345886,0.4582382142543793,0.2485949546098709
42,2020,Yellow Fever,6,quiet,0.29490211606025696,0.4598439335823059,0.24525398015975952
42,2020,AFP,0,quiet,0.4657345116138458,0.3235619366168976,0.21070347726345062
42,2020,CSM,1,quiet,0.46760180592536926,0.3243366479873657,0.2080615907907486
42,2020,Cholera,2,quiet,0.4569021761417389,0.3301055431365967,0.21299225091934204
42,2020,Lassa Fever,3,outbreak,0.4586491286754608,0.33558472990989685,0.20576612651348114
42,2020,Measles,4,outbreak,0.46338221430778503,0.32718518376350403,0.20943258702754974
42,2020,Mpox,5,outbreak,0.4592536985874176,0.32539665699005127,0.21534961462020874
42,2020,Yellow Fever,6,quiet,0.461479127407074,0.32782235741615295,0.2106984406709671
42,2020,AFP,0,quiet,0.424137145280838,0.3764854073524475,0.19937744736671448
42,2020,CSM,1,quiet,0.4231184720993042,0.37824881076812744,0.19863274693489075
42,2020,Cholera,2,quiet,0.41475921869277954,0.3825172483921051,0.20272356271743774
42,2020,Lassa Fever,3,outbreak,0.41372519731521606,0.38833433389663696,0.197940394282341
42,2020,Measles,4,outbreak,0.4188838303089142,0.38364237546920776,0.19747373461723328
42,2020,Mpox,5,quiet,0.4198644459247589,0.375876784324646,0.20425871014595032
42,2020,Yellow Fever,6,quiet,0.4202866852283478,0.3772246241569519,0.20248866081237793
42,2020,AFP,0,quiet,0.3577803373336792,0.47978734970092773,0.16243234276771545
42,2020,CSM,1,quiet,0.35889917612075806,0.4793577492237091,0.16174301505088806
42,2020,Cholera,2,outbreak,0.35163038969039917,0.4843042492866516,0.16406534612178802
42,2020,Lassa Fever,3,outbreak,0.34812667965888977,0.48884257674217224,0.1630307137966156
42,2020,Measles,4,outbreak,0.35289278626441956,0.4872525930404663,0.15985463559627533
42,2020,Mpox,5,quiet,0.3555363714694977,0.4812600910663605,0.16320349276065826
42,2020,Yellow Fever,6,quiet,0.35614049434661865,0.48031970858573914,0.1635397970676422
42,2020,AFP,0,quiet,0.3291923403739929,0.5295467376708984,0.14126089215278625
42,2020,CSM,1,outbreak,0.33204641938209534,0.5284523963928223,0.13950125873088837
42,2020,Cholera,2,outbreak,0.3257750868797302,0.5306832790374756,0.14354167878627777
42,2020,Lassa Fever,3,outbreak,0.3293564021587372,0.5302309989929199,0.14041250944137573
42,2020,Measles,4,outbreak,0.3302212357521057,0.5312790274620056,0.13849981129169464
42,2020,Mpox,5,quiet,0.32537931203842163,0.5300257205963135,0.14459499716758728
42,2020,Yellow Fever,6,quiet,0.32753920555114746,0.530486524105072,0.14197425544261932
42,2020,AFP,0,quiet,0.4052504599094391,0.4629795551300049,0.13176994025707245
42,2020,CSM,1,quiet,0.4098523259162903,0.4605420231819153,0.12960560619831085
42,2020,Cholera,2,outbreak,0.39840444922447205,0.46600648760795593,0.13558906316757202
42,2020,Lassa Fever,3,outbreak,0.40159574151039124,0.46619611978530884,0.1322081834077835
42,2020,Measles,4,outbreak,0.4056251347064972,0.46375367045402527,0.13062120974063873
42,2020,Mpox,5,quiet,0.402062326669693,0.4628530442714691,0.13508452475070953
42,2020,Yellow Fever,6,quiet,0.4040411114692688,0.46168145537376404,0.13427747786045074
42,2020,AFP,0,quiet,0.5741318464279175,0.2674364447593689,0.15843163430690765
42,2020,CSM,1,quiet,0.5764082074165344,0.26887428760528564,0.15471753478050232
42,2020,Cholera,2,quiet,0.5641961097717285,0.2748793065547943,0.16092458367347717
42,2020,Lassa Fever,3,outbreak,0.5652732253074646,0.27731144428253174,0.15741528570652008
42,2020,Measles,4,outbreak,0.5703855156898499,0.274108350276947,0.1555061787366867
42,2020,Mpox,5,quiet,0.5676588416099548,0.27253347635269165,0.15980768203735352
42,2020,Yellow Fever,6,quiet,0.571357250213623,0.27080219984054565,0.15784047544002533
