disease,n_quiet,n_outbreak,w_tcn_quiet,w_tcn_outbreak,w_tcn_delta,w_bilstm_quiet,w_bilstm_outbreak,w_bilstm_delta,w_transformer_quiet,w_transformer_outbreak,w_transformer_delta
AFP,384,267,0.2240610976393024,0.17596629815880727,-0.04809479948049514,0.4317461431201082,0.48652972889303714,0.05478358577292897,0.3441927611662929,0.3375039730876796,-0.006688788078613284
CSM,417,234,0.24043739671043926,0.22891343962878752,-0.011523957081651742,0.4266878449105673,0.4148329217464496,-0.011854923164117737,0.3328747576107081,0.3562536427162142,0.023378885105506064
Cholera,261,390,0.22603720968225222,0.1841528000119023,-0.041884409670349926,0.4177869585025128,0.4262215864008818,0.008434627898369018,0.3561758263914407,0.3896256131334947,0.03344978674205401
Lassa Fever,201,450,0.2304668399825025,0.23451099214661453,0.004044152164112025,0.42212455905047225,0.4398873491668039,0.01776279011633164,0.3474086032837481,0.3256016586472591,-0.021806944636489023
Measles,432,219,0.2149306763668493,0.23973632457593805,0.02480564820908876,0.427410414925328,0.4064473533773259,-0.020963061548002093,0.3576589101382221,0.3538163295143271,-0.0038425806238949756
Mpox,204,447,0.26494529937832234,0.17482792470349995,-0.09011737467482239,0.3801800138590967,0.47996486162545965,0.09978484776636293,0.3548746906111346,0.3452072124469867,-0.009667478164147869
Yellow Fever,405,246,0.2541384614636133,0.2189796510175234,-0.0351588104460899,0.4222266875115442,0.46443444145161933,0.04220775394007514,0.3236348510708338,0.3165859023593669,-0.007048948711466885
